,X,Y
0,﻿ดี,pos
1,ขอบคุณ,pos
2,สู้เสมอ,pos
3,ผ่าน,pos
4,โคตรสนุก,pos
5,สุดยอด,pos
6,น่ารัก,pos
7,ขอบคุณทุก,pos
8,คงคิดถึง,pos
9,เก็บเวลาที่ดีให้เราได้จดจำ,pos
10,ทำข้อสอบให้ได้,pos
11,สู้,pos
12,รอยยิ้มในความทรงจำ,pos
13,ทุกนี้ฉันคิดถึง,pos
14,ความทรงจำที่ดีเหลือเกิน,pos
15,รักมาก คิดถึงมาก,pos
16,ดีใจ,pos
17,รัก,pos
18,ห่วง,pos
19,รักแฟนขี้บ่นจัง,pos
20,ขอบคุณผู้ใจดี,pos
21,มิตรภาพดี,pos
22,ที่รัก,pos
23,ชอบจัง,pos
24,ความทรงจำที่ยังสวยงาม,pos
25,ช่วงเวลาที่รู้จักถึงจะไม่นานแต่คือช่วงที่ดีที่สุด,pos
26,เปลี่ยนไปรัก รักจนหมดหัวใจ,pos
27,ดีใจด้วย,pos
28,ปลอดภัย,pos
29,ทรงพระเจริญ,pos
30,ใจเย็น,pos
31,ดูแลตัวเองด้วย,pos
32,ขอบคุณมิตรภาพดี เพื่อนที่ดี,pos
33,โอกาศดี แบบนี้ห้ามพลาด,pos
34,ขอบคุณ,pos
35,ง่าย,pos
36,มองโลกในแง่ดี,pos
37,ไม่ต้องกลัว,pos
38,คุณโชคดีกว่าหลายมาก,pos
39,อดทนต่อไป,pos
40,ชอบใครก็ชวนมาลองชิมที่คุณทำ,pos
41,ดูแลตัวเองก็มั่นใจในตัวเองมากขึ้นยิ้มบ่อย,pos
42,คบนาน สนิทมาก เดี๋ยวก็หาย,pos
43,ใช้ความรักพลัง,pos
44,ไม่ขี้งอนไม่น้อยใจใครแม้แต่เพื่อนสนิท,pos
45,รักตัวเองให้มาก,pos
46,ไม่ต้องคิดมาก,pos
47,กำลังใจให้,pos
48,พรุ่งนี้ต้องดีกว่านี้,pos
49,ความมิตร  จริงใจ  ทำดีต่อ,pos
50,ขอบใจมาก,pos
51,โคตรหล่อ,pos
52,หยุดยิ้มไม่ได้,pos
53,อารมณ์ดีเพราะความสุข,pos
54,ทั้งคู่เหมาะสมมาก,pos
55,สวยงามมาก,pos
56,สิ่งที่รู้สึกอยากเห็นมาก,pos
57,เค้าดี,pos
58,บรรยากาศอบอุ่นดีมาก,pos
59,ชอบจัง,pos
60,ขำตลกจริง,pos
61,ดี,pos
62,ทำไมน่ารักขนาดนี้,pos
63,น่ารักมาก อบอุ่น,pos
64,เดินทางปลอดภัย,pos
65,อบอุ่นจัง,pos
66,โครตฮาหัวเราะอร่อยมาก,pos
67,ชอบ,pos
68,ไม่เดือดร้อน,pos
69,ทำไมน่าร๊าก,pos
70,นี่ถือตัวอย่างที่ดี,pos
71,อวยพร,pos
72,โชคดี,pos
73,อย่าได้ไปหวังอะไรลม แล้ง,pos
74,ความหวังในอนาคต,pos
75,เขียนได้ดีอ่านเพลินมาก,pos
76,อย่าปล่อยให้อดีตทำร้ายปัจจุบัน,pos
77,เธอคงความสุขดีในที่ฉันความสุขเธอ,pos
78,ขอให้ความสุข,pos
79,ความรู้สึกที่ยังเหมือนเดิม,pos
80,ให้โอกาส,pos
81,ความสุข,pos
82,ประโยชน์,pos
83,รัก,pos
84,ดีที่สุด,pos
85,ดีใจความสุข,pos
86,ยังไม่ลืม,pos
87,ชอบที่เธอแกล้งเราแอบไปยิ้ม,pos
88,กินของอร่อยความสุข,pos
89,สาธุ,pos
90,เอาเงินมาบริจาค,pos
91,ความพยายามอยู่ที่ไหนความสำเร็จอยู่ที่นั้น,pos
92,สวยรวยเก่งค่าการศึกษา,pos
93,น่าอยู่น่าเที่ยว,pos
94,ข้อดี,pos
95,สะดวกง่ายเข้าใจเร็วนึกออกง่าย,pos
96,ไม่เสียใจ,pos
97,การค้นพบที่น่าตื่นเต้นที่สุด,pos
98,สบายใจ,pos
99,ชัดเจน,pos
100,ยังรอดชีวิต,pos
101,ถ่ายทำได้ดีมากมุมสวย,pos
102,มองเย็นใจ,pos
103,จังหวะดีฝีมือเทพน่านับถือ,pos
104,นี้ฟ้าโปร่งสดใส,pos
105,เห็นชัดเจน,pos
106,ทัศนียภาพตื่นตาตื่นใจ,pos
107,เพลิดเพลินทิวทัศน์,pos
108,น่าสนดีเหมือนแปลกใหม่น่าท้าลอง,pos
109,กำลังกลับมา,pos
110,สุขสันต์เกิด,pos
111,สวัสดีปีใหม่,pos
112,รัก,pos
113,วิเศษรอยยิ้มสายตาอบอุ่น,pos
114,ขอบคุณทุกครั้งที่คอยปลอบฉัน,pos
115,ชัดเจนแค่เห็นก็ชื่นใจ,pos
116,ตื่นเต้น,pos
117,น่ารักที่สุด,pos
118,เข้าใจตรง,pos
119,ความทรงจำดี,pos
120,คิดถึงเหมือน,pos
121,ดวงดี,pos
122,ให้โอกาสแก้ตัว,pos
123,สอบได้,pos
124,สอบติด,pos
125,เย้ดีใจด้วย,pos
126,อดทนไว้,pos
