,X,Y
0,﻿ไม่,neg
1,ไม่เรื่อง,neg
2,ทำกลับไม่,neg
3,ช่างเลวจริงๆ,neg
4,ผลงานย่ำแย่จนใกล้ตกชั้น,neg
5,อึดอัดไม่รัก,neg
6,ปวดหัวแท้ล้า,neg
7,ไม่เงินโว้ย,neg
8,ขี้เกียจล้านตัว,neg
9,แย่ว่ะ,neg
10,ทำไม่วะ,neg
11,ไม่ชอบ,neg
12,ร้อนตัวหรอ,neg
13,ไม่น่ารัก,neg
14,อำลานี้ไม่เจออีกน่ะ,neg
15,เวลาเหนื่อยนี่บ่นใครบ้าง,neg
16,เสีย,neg
17,เสียความรู้สึก,neg
18,นกบ่อยขนาดนี้ควรไปตายเกิดใหม่เถอะ,neg
19,เจ็บเจ็บอีก,neg
20,อิจฉาจัง,neg
21,ไม่ต่างสัตว์เดรัจฉาน,neg
22,หยังอายคิดอาย,neg
23,ทุเรศ,neg
24,ลั่นเบศพ,neg
25,ทุเรดสุด,neg
26,แบล็กลิสต์,neg
27,เพ้อเจ้อกคิดไปเอง มโนไปเอง,neg
28,ไม่ซาบซึ้ง,neg
29,ถูกทัณฑ์ทรนแห่งนรก,neg
30,ข่มขู่บีบบังคับ,neg
31,เดี่ยวเสียทีหลัง,neg
32,เธอมองข้าม,neg
33,นี้ไงถึงไม่อยากให้รู้เพราะว่าวุ่นวายเเค่นี้กพอเเล้ว,neg
34,หลอกให้รัก,neg
35,เเล้วทิ้งไป,neg
36,ขี้คร้าน,neg
37,อยู่ใกล้เอื้อม่ไปหาไม่,neg
38,สวยไงขนาดครีมยังขี้เกียจทา,neg
39,เมื่อยๆๆร่างกายอ่อนเพลีย,neg
40,ไม่น้ำหนัก,neg
41,ตำหนิ,neg
42,น้อย,neg
43,ไม่เคย,neg
44,หัวร้อน,neg
45,ยากกว่ากหลายเท่า,neg
46,เพราะผิดหวังเยอะ,neg
47,เจ็บเยอะ,neg
48,นั่งเสีย,neg
49,เสียน้ำตา,neg
50,มันแย่ก,neg
51,เบื่อจริงๆ,neg
52,เสื่อม,neg
